Creature Name,Creature ID
Achatina,Achatina_Character_BP_C
Allosaurus,Allo_Character_BP_C
Alpha Carno,MegaCarno_Character_BP_C
Alpha Deathworm,MegaDeathworm_Character_BP_C
Alpha Fire Wyvern,MegaWyvern_Character_BP_Fire_C
Alpha Leedsichthys,Alpha_Leedsichthys_Character_BP_C
Alpha Megalodon,MegaMegalodon_Character_BP_C
Alpha Mosasaurus,Mosa_Character_BP_Mega_C
Alpha Raptor,MegaRaptor_Character_BP_C
Alpha Rex,MegaRex_Character_BP_C
Alpha Tusoteuthis,Mega_Tusoteuthis_Character_BP_C
Ammonite,Ammonite_Character_C
Anglerfish,Angler_Character_BP_C
Ankylosaurus,Ankylo_Character_BP_C
Araneo,SpiderS_Character_BP_C
Archaeopteryx,Archa_Character_BP_C
Argentavis,Argent_Character_BP_C
Arthropluera,Arthro_Character_BP_C
Baryonyx,Baryonyx_Character_BP_C
Basilosaurus,Basilosaurus_Character_BP_C
Beelzebufo,Toad_Character_BP_C
BunnyDodo,Dodo_Character_BP_Bunny_C
Bunny Oviraptor,BunnyOviraptor_Character_BP_C
Brontosaurus,Sauropod_Character_BP_C
Broodmother Lysrix,SpiderL_Character_BP_C
Chalicotherium,Chalico_Character_BP_C
Carbonemys,Turtle_Character_BP_C
Carnotaurus,Carno_Character_BP_C
Castoroides,Beaver_Character_BP_C
Cnidaria,Cnidaria_Character_BP_C
Coelacanth,Coel_Character_BP_C
Compy,Compy_Character_BP_C
Daeodon,Daeodon_Character_BP_C
Deathworm,Deathworm_Character_BP_C
Dilophosaur,Dilo_Character_BP_C
Dimetrodon,Dimetro_Character_BP_C
Dimorphodon,Dimorph_Character_BP_C
Diplocaulus,Diplocaulus_Character_BP_C
Diplodocus,Diplodocus_Character_BP_C
Direbear,Direbear_Character_BP_C
Direwolf,Direwolf_Character_BP_C
Dodo,Dodo_Character_BP_C
DodoRex,DodoRex_Character_BP_C
Dodo Wyvern,DodoWyvern_Character_BP_C
Doedicurus,Doed_Character_BP_C
Dragon,Dragon_Character_BP_C
Dung Beetle,DungBeetle_Character_BP_C
